path,count
Conifer-Agricultural,1163428
Conifer-Conifer,3811517
Conifer-Conifer Hardwood,917616
Conifer-Developed,1395335
Conifer-Exotic Herbaceous,3
Conifer-Grassland,389159
Conifer-Hardwood,4709958
Conifer-Mines,8534
Conifer-Riparian,157895
Conifer-Shrubland,3917
Conifer-Sparsely Vegetated,8221
Hardwood-Agricultural,33131044
Hardwood-Conifer,2023927
Hardwood-Conifer Hardwood,181598
Hardwood-Developed,16350333
Hardwood-Exotic Tree Shrub,1
Hardwood-Grassland,1431900
Hardwood-Hardwood,31756796
Hardwood-Mines,20458
Hardwood-Riparian,619800
Hardwood-Shrubland,4121
Hardwood-Sparsely Vegetated,16227
Hardwood Conifer-Agricultural,5609352
Hardwood Conifer-Conifer,5378941
Hardwood Conifer-Conifer Hardwood,1174818
Hardwood Conifer-Developed,4030093
Hardwood Conifer-Grassland,1079453
Hardwood Conifer-Hardwood,9898562
Hardwood Conifer-Mines,7218
Hardwood Conifer-Riparian,215749
Hardwood Conifer-Shrubland,13813
Hardwood Conifer-Sparsely Vegetated,12795
Riparian-Agricultural,1109513
Riparian-Conifer,1467297
Riparian-Conifer Hardwood,33174
Riparian-Developed,890287
Riparian-Exotic Herbaceous,4
Riparian-Exotic Tree Shrub,1
Riparian-Grassland,70060
Riparian-Hardwood,1758997
Riparian-Mines,110511
Riparian-Riparian,28096008
Riparian-Shrubland,363
Riparian-Sparsely Vegetated,209
