VALUE,COUNT,EVTname,EVTgroupname,EVH,EVC
1,102260,Open Water,Open Water,Open Water,Open Water
2,659558,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
3,84927,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
4,88946,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
5,308548,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
6,44890,Boreal White Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
7,44480,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
8,62377,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
9,10699,Boreal Aspen-Birch Forest,Aspen-Birch Forest,Forest Height 10 to 25 meters,Tree Cover >= 80 and < 90%
10,43540,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
11,31437,Boreal White Spruce-Fir Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
12,4709,Boreal Hardwood Forest,Spruce-Fir-Hardwood Forest,Forest Height 10 to 25 meters,Tree Cover >= 70 and < 80%
13,8096,Eastern Cool Temperate Urban Mixed Forest,Developed-Upland Mixed Forest,Developed-Upland Mixed Forest,Developed-Upland Mixed Forest
14,16266,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 10 to 25 meters,Tree Cover >= 90 and <= 100%
15,38837,Developed-Roads,Developed-Roads,Developed-Roads,Developed-Roads
16,51076,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,Atlantic Swamp Forests,Forest Height 10 to 25 meters,Tree Cover >= 60 and < 70%
17,15147,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest,Forest Height 5 to 10 meters,Tree Cover >= 60 and < 70%
